,boost,best integer len,# iterations,AVG integer len,STD ,Optimum,Rel error
eil76.tsp,False,883.0,826,1079.9885126964934,17.334845172632768,538.0,64.1263940520446
ch130.tsp,False,12392.0,218,15636.684018264841,244.07500189129792,6110.0,102.8150572831424
d198.tsp,False,34886.0,68,43198.0420289855,997.4191328094895,15780.0,121.07731305449937
eil76.tsp,False,908.0,856,1079.1640606767794,17.604201957716807,538.0,68.77323420074349
ch130.tsp,False,13505.0,184,15661.647567567568,226.15158945495435,6110.0,121.03109656301146
d198.tsp,False,35418.0,65,43337.42272727273,931.2150875774922,15780.0,124.44866920152091
eil76.tsp,False,893.0,852,1079.3104337631887,16.94095729766192,538.0,65.98513011152416
ch130.tsp,False,13206.0,214,15663.83488372093,230.5800292727128,6110.0,116.13747954173486
d198.tsp,False,34854.0,66,43456.850746268654,992.7429849368026,15780.0,120.8745247148289
eil76.tsp,True,641.0,641,1078.3838006230528,16.169826498205094,538.0,19.144981412639407
ch130.tsp,True,7453.0,262,15658.051330798478,257.3011385172235,6110.0,21.98036006546645
d198.tsp,True,19476.0,114,43134.46173913044,991.3655978613856,15780.0,23.422053231939163
eil76.tsp,True,625.0,648,1079.3069337442219,17.07621629686102,538.0,16.171003717472118
ch130.tsp,True,7573.0,265,15658.156390977441,239.50941349117096,6110.0,23.944353518821604
d198.tsp,True,21788.0,114,43423.94869565218,891.1945843607616,15780.0,38.07351077313054
eil76.tsp,True,631.0,665,1079.1241741741742,16.10863648367101,538.0,17.286245353159853
ch130.tsp,True,6940.0,265,15672.235714285714,243.97270285736352,6110.0,13.584288052373159
d198.tsp,True,21314.0,116,43333.61111111111,1037.8954498981475,15780.0,35.06970849176172
eil76.tsp,False,930.0,940,1070.2110520722633,16.16913740163371,538.0,72.86245353159852
ch130.tsp,False,13499.0,243,15557.922950819673,203.41076538192337,6110.0,120.9328968903437
d198.tsp,False,36625.0,74,44212.716,834.1315018692596,15780.0,132.0975918884664
eil76.tsp,False,908.0,974,1068.0528205128205,16.25844884087575,538.0,68.77323420074349
ch130.tsp,False,13374.0,243,15567.245901639344,222.62511370843862,6110.0,118.88707037643208
d198.tsp,False,38425.0,73,44139.82702702702,684.1037560189754,15780.0,143.5044359949303
eil76.tsp,False,915.0,945,1064.8372093023256,16.526020556248177,538.0,70.07434944237919
ch130.tsp,False,13184.0,234,15533.877872340425,212.27311136420226,6110.0,115.77741407528642
d198.tsp,False,38328.0,71,44118.104166666664,633.4435534436403,15780.0,142.8897338403042
eil76.tsp,True,587.0,690,1068.4289435600579,16.552797653929172,538.0,9.107806691449815
ch130.tsp,True,7202.0,273,15586.778102189779,213.95047919947038,6110.0,17.872340425531913
d198.tsp,True,21607.0,109,44293.60636363637,734.7174347730592,15780.0,36.92648922686946
eil76.tsp,True,605.0,619,1066.3372580645162,16.315546185172575,538.0,12.453531598513012
ch130.tsp,True,7722.0,256,15552.099221789884,240.6660634260624,6110.0,26.382978723404257
d198.tsp,True,26030.0,113,43983.05614035087,629.9133117795121,15780.0,64.95564005069708
eil76.tsp,True,587.0,648,1069.4519260400616,16.746436738596966,538.0,9.107806691449815
ch130.tsp,True,7001.0,247,15577.519354838709,200.41741307605957,6110.0,14.58265139116203
d198.tsp,True,19474.0,109,44154.91181818182,690.5589125986439,15780.0,23.40937896070976
eil76.tsp,False,906.0,889,1062.8073033707865,16.006976096047214,538.0,68.40148698884758
ch130.tsp,False,12633.0,223,15561.388392857143,228.06179173069978,6110.0,106.759410801964
d198.tsp,False,37391.0,68,44454.40289855072,892.2370142270581,15780.0,136.95183776932825
eil76.tsp,False,901.0,901,1060.5811529933483,16.643969084163718,538.0,67.4721189591078
ch130.tsp,False,12870.0,221,15562.55945945946,219.18690587673333,6110.0,110.63829787234043
d198.tsp,False,38049.0,68,44256.32463768116,810.6155393165061,15780.0,141.12167300380227
eil76.tsp,False,881.0,903,1063.3101769911505,17.2548302321511,538.0,63.7546468401487
ch130.tsp,False,13295.0,222,15568.009417040359,254.6808336749434,6110.0,117.59410801963993
d198.tsp,False,37422.0,67,44310.83970588236,783.1490078972852,15780.0,137.14828897338404
eil76.tsp,True,584.0,646,1064.0231839258115,16.643146671528324,538.0,8.550185873605948
ch130.tsp,True,7550.0,257,15557.981007751936,220.7301556562644,6110.0,23.567921440261866
d198.tsp,True,27529.0,112,44562.81150442478,803.4766205554163,15780.0,74.45500633713561
eil76.tsp,True,599.0,654,1062.8029007633588,16.663147823936683,538.0,11.338289962825279
ch130.tsp,True,7143.0,257,15569.095348837207,230.86476186923875,6110.0,16.90671031096563
d198.tsp,True,21105.0,112,44321.03982300885,757.6288389559014,15780.0,33.745247148288975
eil76.tsp,True,591.0,578,1061.1868739205527,16.70620871843863,538.0,9.851301115241636
ch130.tsp,True,6978.0,258,15581.83667953668,220.6523767316234,6110.0,14.206219312602292
d198.tsp,True,20133.0,118,44670.48067226891,838.5775186806068,15780.0,27.58555133079848
