,q,boost,best integer len,# iterations,AVG integer len,STD ,Optimum,Rel error
eil76.tsp,0.5,True,556.0,778,1161.0269576379974,30.978740772223272,538.0,3.345724907063197
ch130.tsp,0.5,True,6315.0,265,15162.125563909774,447.14765557681267,6110.0,3.355155482815057
d198.tsp,0.5,True,17360.0,115,34830.33706896551,1170.3043303383313,15780.0,10.012674271229404
eil76.tsp,0.5,False,832.0,1773,1158.6082863585118,30.78152537650213,538.0,54.646840148698885
ch130.tsp,0.5,False,10895.0,430,15164.691879350348,433.0176355206264,6110.0,78.31423895253683
d198.tsp,0.5,False,27113.0,133,34811.24776119403,1068.112533670746,15780.0,71.81875792141952
eil76.tsp,0.5,True,563.0,846,1160.1003541912632,32.22792225260395,538.0,4.646840148698884
ch130.tsp,0.5,True,6544.0,285,15119.655244755246,453.70508407075783,6110.0,7.103109656301146
d198.tsp,0.5,True,17629.0,113,34806.42192982456,1276.9379281070715,15780.0,11.717363751584283
eil76.tsp,0.5,False,800.0,1809,1158.237955801105,31.453567131948855,538.0,48.698884758364315
ch130.tsp,0.5,False,10134.0,434,15147.806896551725,419.8343893503404,6110.0,65.85924713584288
d198.tsp,0.5,False,26562.0,129,34810.4476923077,1034.4667359945854,15780.0,68.32699619771863
eil76.tsp,0.5,True,557.0,824,1160.3527272727272,31.366112893001723,538.0,3.5315985130111525
ch130.tsp,0.5,True,6547.0,265,15153.526691729323,413.630924352598,6110.0,7.152209492635024
d198.tsp,0.5,True,17383.0,108,34855.81834862385,1170.4005405635294,15780.0,10.158428390367554
eil76.tsp,0.5,False,828.0,1713,1158.7218786464412,30.902499488720718,538.0,53.90334572490706
ch130.tsp,0.5,False,10670.0,408,15104.331051344745,440.4090568423547,6110.0,74.63175122749591
d198.tsp,0.5,False,26714.0,129,34802.03230769231,1167.7315875870281,15780.0,69.29024081115335
eil76.tsp,0.98,True,559.0,1158,762.925711820535,12.627537248790206,538.0,3.903345724907063
ch130.tsp,0.98,True,6314.0,496,8684.567002012072,145.80652624709037,6110.0,3.3387888707037643
d198.tsp,0.98,True,16975.0,261,22148.935114503816,393.78825197423765,15780.0,7.572877059569075
eil76.tsp,0.98,False,619.0,2793,762.353507516106,12.307499134325594,538.0,15.055762081784387
ch130.tsp,0.98,False,7207.0,685,8683.900728862975,147.33534660111044,6110.0,17.95417348608838
d198.tsp,0.98,False,17721.0,54,22020.26909090909,550.9562232643526,15780.0,12.300380228136882
eil76.tsp,0.98,True,559.0,622,762.3272873194222,12.683583259262921,538.0,3.903345724907063
ch130.tsp,0.98,True,6353.0,297,8676.610738255034,167.62108520958074,6110.0,3.9770867430441896
d198.tsp,0.98,True,17133.0,108,22137.303669724766,469.84849577002865,15780.0,8.574144486692015
eil76.tsp,0.98,False,609.0,1065,762.0045028142589,12.901504427687762,538.0,13.197026022304833
ch130.tsp,0.98,False,7013.0,223,8661.191071428571,171.18943014014965,6110.0,14.779050736497545
d198.tsp,0.98,False,18044.0,59,21978.784999999996,595.2412602816329,15780.0,14.347275031685678
eil76.tsp,0.98,True,557.0,392,761.1338422391857,13.773188164299803,538.0,3.5315985130111525
ch130.tsp,0.98,True,6436.0,257,8660.843798449612,161.9723901617775,6110.0,5.3355155482815055
d198.tsp,0.98,True,16950.0,129,22119.668461538462,430.6309605209218,15780.0,7.414448669201521
eil76.tsp,0.98,False,603.0,1333,761.7668665667167,13.065073423249835,538.0,12.0817843866171
ch130.tsp,0.98,False,7254.0,350,8679.33675213675,163.65133438982724,6110.0,18.72340425531915
d198.tsp,0.98,False,18585.0,109,22088.908181818177,451.38944929302244,15780.0,17.775665399239543
eil76.tsp,0.9343434343434344,True,554.0,607,799.9740131578948,16.26440704502143,538.0,2.973977695167286
ch130.tsp,0.9343434343434344,True,6491.0,229,9301.151739130435,216.27041903401707,6110.0,6.2356792144026185
d198.tsp,0.9343434343434344,True,17203.0,107,23367.75,600.1053130570158,15780.0,9.017743979721166
eil76.tsp,0.9343434343434344,False,640.0,1263,800.5903481012658,16.55984406091626,538.0,18.95910780669145
ch130.tsp,0.9343434343434344,False,7347.0,310,9282.48231511254,234.66434599678763,6110.0,20.245499181669395
d198.tsp,0.9343434343434344,False,19340.0,90,23309.671428571426,642.9241194413985,15780.0,22.56020278833967
eil76.tsp,0.9343434343434344,True,560.0,567,801.3984154929577,17.49399738974589,538.0,4.089219330855019
ch130.tsp,0.9343434343434344,True,6357.0,217,9326.417889908256,213.97792285406925,6110.0,4.042553191489362
d198.tsp,0.9343434343434344,True,17125.0,111,23243.52946428571,593.9502036363931,15780.0,8.523447401774398
eil76.tsp,0.9343434343434344,False,640.0,1231,799.9992694805195,16.260350084052668,538.0,18.95910780669145
ch130.tsp,0.9343434343434344,False,7280.0,299,9321.382666666666,226.2816073676535,6110.0,19.148936170212767
d198.tsp,0.9343434343434344,False,19365.0,89,23308.87,543.7370991470868,15780.0,22.718631178707223
eil76.tsp,0.9343434343434344,True,554.0,555,800.4764388489209,17.00630867649466,538.0,2.973977695167286
ch130.tsp,0.9343434343434344,True,6443.0,217,9274.763302752293,208.89754508223743,6110.0,5.4500818330605565
d198.tsp,0.9343434343434344,True,17251.0,105,23257.057547169807,588.6892850475816,15780.0,9.32192648922687
eil76.tsp,0.9343434343434344,False,639.0,1186,800.8506318449873,16.583167820123897,538.0,18.773234200743495
ch130.tsp,0.9343434343434344,False,7253.0,275,9316.542753623187,212.12510677840777,6110.0,18.707037643207855
d198.tsp,0.9343434343434344,False,18367.0,57,23175.81551724138,709.2180946603789,15780.0,16.394169835234475
