,q,boost,best integer len,# iterations,AVG integer len,STD ,Optimum,Rel error
eil76.tsp,0.98,True,554.0,2638,762.8288366805607,12.241814171958705,538.0,2.973977695167286
ch130.tsp,0.98,True,6370.0,1048,8686.563584366062,145.09582635771375,6110.0,4.25531914893617
d198.tsp,0.98,True,16967.0,542,22155.42467771639,349.9365753354354,15780.0,7.522179974651458
eil76.tsp,0.98,False,595.0,9085,761.9824675324676,12.26700716513844,538.0,10.594795539033457
ch130.tsp,0.98,False,7187.0,2537,8685.183569739953,137.8545591622548,6110.0,17.626841243862522
d198.tsp,0.98,False,18223.0,865,22182.932332563512,345.9231999606308,15780.0,15.481622306717364
eil76.tsp,0.98,True,553.0,2705,762.6464523281596,12.3850730158392,538.0,2.7881040892193307
ch130.tsp,0.98,True,6335.0,1081,8682.119131238447,145.83966119740256,6110.0,3.6824877250409167
d198.tsp,0.98,True,16950.0,545,22183.670695970697,358.7427556699501,15780.0,7.414448669201521
eil76.tsp,0.98,False,615.0,9075,762.0419347730277,12.20008055638763,538.0,14.312267657992566
ch130.tsp,0.98,False,7075.0,2529,8681.988498023715,139.86964825889916,6110.0,15.793780687397708
d198.tsp,0.98,False,18326.0,863,22180.026736111115,352.19131968646695,15780.0,16.134347275031686
eil76.tsp,0.98,True,551.0,2705,762.6573540280857,12.331619784503152,538.0,2.41635687732342
ch130.tsp,0.98,True,6388.0,1075,8688.969237918218,150.05192735562144,6110.0,4.5499181669394435
d198.tsp,0.98,True,17204.0,549,22162.42509090909,364.4262749077975,15780.0,9.024081115335868
eil76.tsp,0.98,False,615.0,9062,762.2629923866269,12.353686149277065,538.0,14.312267657992566
ch130.tsp,0.98,False,6877.0,2531,8686.274881516587,140.37373909725963,6110.0,12.553191489361701
d198.tsp,0.98,False,18175.0,862,22198.76593279258,349.6137397142956,15780.0,15.17743979721166
